0;0
0,0314;0,392281
0,0628;0,783247
0,0942;1,17159
0,1256;1,55602
0,157;1,93526
0,1884;2,30807
0,2198;2,67323
0,2512;3,02956
0,2826;3,37593
0,314;3,71128
0,3454;4,03456
0,3768;4,34483
0,4082;4,64118
0,4396;4,92278
0,471;5,18888
0,5024;5,43881
0,5338;5,67194
0,5652;5,88778
0,5966;6,08588
0,628;6,26589
0,6594;6,42754
0,6908;6,57064
0,7222;6,6951
0,7536;6,8009
0,785;6,8881
0,8164;6,95685
0,8478;7,00737
0,8792;7,03997
0,9106;7,05501
0,942;7,05292
0,9734;7,03423
1,0048;6,99948
1,0362;6,9493
1,0676;6,88437
1,099;6,80539
1,1304;6,71313
1,1618;6,60839
1,1932;6,49199
1,2246;6,36477
1,256;6,22762
1,2874;6,08142
1,3188;5,92706
1,3502;5,76544
1,3816;5,59746
1,413;5,42401
1,4444;5,24596
1,4758;5,06418
1,5072;4,87952
1,5386;4,69279
1,57;4,50478
1,6014;4,31626
1,6328;4,12795
1,6642;3,94054
1,6956;3,75468
1,727;3,57098
1,7584;3,39
1,7898;3,21226
1,8212;3,03823
1,8526;2,86835
1,884;2,703
1,9154;2,5425
1,9468;2,38715
1,9782;2,2372
2,0096;2,09284
2,041;1,95424
2,0724;1,8215
2,1038;1,6947
2,1352;1,57389
2,1666;1,45906
2,198;1,35018
2,2294;1,2472
2,2608;1,15002
2,2922;1,05854
2,3236;0,972598
2,355;0,89205
2,3864;0,816717
2,4178;0,746405
2,4492;0,680909
2,4806;0,620013
2,512;0,563492
2,5434;0,511115
2,5748;0,462647
2,6062;0,417851
2,6376;0,376489
2,669;0,338325
2,7004;0,303122
2,7318;0,270649
2,7632;0,240679
2,7946;0,21299
2,826;0,187363
2,8574;0,163588
2,8888;0,141459
2,9202;0,120776
2,9516;0,101346
2,983;0,0829789
3,0144;0,0654922
3,0458;0,0487053
3,0772;0,0324424
3,1086;0,0165301
3,14;0,000797113
3,1714;-0,0149268
3,2028;-0,030813
3,2342;-0,0470324
3,2656;-0,0637577
3,297;-0,0811656
3,3284;-0,0994348
3,3598;-0,118749
3,3912;-0,139296
3,4226;-0,161269
3,454;-0,184867
3,4854;-0,210296
3,5168;-0,237766
3,5482;-0,267495
3,5796;-0,299703
3,611;-0,334618
3,6424;-0,372471
3,6738;-0,413497
3,7052;-0,457933
3,7366;-0,506017
3,768;-0,557986
3,7994;-0,614076
3,8308;-0,674518
3,8622;-0,739536
3,8936;-0,809349
3,925;-0,884164
3,9564;-0,964173
3,9878;-1,04956
4,0192;-1,14047
4,0506;-1,23707
4,082;-1,33946
4,1134;-1,44773
4,1448;-1,56196
4,1762;-1,68216
4,2076;-1,80835
4,239;-1,94049
4,2704;-2,07851
4,3018;-2,22229
4,3332;-2,37168
4,3646;-2,52649
4,396;-2,68648
4,4274;-2,85136
4,4588;-3,0208
4,4902;-3,19442
4,5216;-3,37181
4,553;-3,55249
4,5844;-3,73594
4,6158;-3,92161
4,6472;-4,10889
4,6786;-4,29714
4,71;-4,48567
4,7414;-4,67377
4,7728;-4,86066
4,8042;-5,04558
4,8356;-5,22769
4,867;-5,40615
4,8984;-5,58011
4,9298;-5,74869
4,9612;-5,911
4,9926;-6,06614
5,024;-6,21321
5,0554;-6,35132
5,0868;-6,47958
5,1182;-6,59711
5,1496;-6,70308
5,181;-6,79664
5,2124;-6,87699
5,2438;-6,94339
5,27521;-6,99509
5,30661;-7,03143
5,33801;-7,05178
5,36941;-7,05557
5,40081;-7,04228
5,43221;-7,01149
5,46361;-6,96279
5,49501;-6,8959
5,52641;-6,81057
5,55781;-6,70666
5,58921;-6,58409
5,62061;-6,44287
5,65201;-6,28309
5,68341;-6,10493
5,71481;-5,90864
5,74621;-5,69458
5,77761;-5,46317
5,80901;-5,21491
5,84041;-4,95042
5,87181;-4,67035
5,90321;-4,37545
5,93461;-4,06655
5,96601;-3,74454
5,99741;-3,41037
6,02881;-3,06506
6,06021;-2,70968
6,09161;-2,34536
6,12301;-1,97327
6,15441;-1,59462
6,18581;-1,21065
6,21721;-0,822644
6,24861;-0,431881
